time;V(Net-_D1-K_);V(Net-_U2-+_);
0.0127414;11.5988;3.14635;
0.0127614;11.5942;3.05665;
0.0127814;11.5895;2.96714;
0.0128014;11.5849;2.87781;
0.0128214;11.5803;2.78865;
0.0128414;11.5756;2.69968;
0.0128614;11.571;2.61088;
0.0128814;11.5664;2.52225;
0.0129014;11.5618;2.43381;
0.0129214;11.5571;2.34554;
0.0129414;11.5525;2.25745;
0.0129614;11.5479;2.16954;
0.0129814;11.5433;2.0818;
0.013001;11.5387;1.99598;
0.0130011;11.5387;1.99489;
0.0130013;11.5387;1.99305;
0.0130017;11.5386;1.991;
0.013002;11.5385;1.99064;
0.0130021;11.5385;1.99127;
0.0130022;11.5385;1.99242;
0.0130026;11.5384;1.99427;
0.0130032;11.5382;1.9972;
0.0130045;11.5379;2.00232;
0.013007;11.5373;2.01243;
0.0130122;11.5362;2.03268;
0.0130224;11.5338;2.07312;
0.0130424;11.5292;2.15202;
0.0130624;11.5246;2.23074;
0.0130824;11.52;2.30932;
0.0131024;11.5154;2.38774;
